asset	anchor_u	anchor_v	width	height	sidc
friend_air_defence_team_unit	0.5	0.6351351351351351	106.65	99.9	SFGPUCD----A--
friend_air_defence_team_hq	0.02531645569620253	0.9838709677419354	106.65	167.4	SFGPUCD---AA--
friend_air_defence_section_unit	0.5	0.6014760147601476	106.65	91.4625	SFGPUCD----C--
friend_air_defence_section_hq	0.02531645569620253	0.9830148619957536	106.65	158.9625	SFGPUCD---AC--
friend_air_defence_platoon_unit	0.5	0.6014760147601476	106.65	91.4625	SFGPUCD----D--
friend_air_defence_platoon_hq	0.02531645569620253	0.9830148619957536	106.65	158.9625	SFGPUCD---AD--
friend_air_defence_company_unit	0.5	0.6351351351351351	106.65	99.9	SFGPUCD----E--
friend_air_defence_company_hq	0.02531645569620253	0.9838709677419354	106.65	167.4	SFGPUCD---AE--
friend_air_defence_battalion_regiment_unit	0.5	0.6351351351351351	106.65	99.9	SFGPUCD----F--
friend_air_defence_battalion_regiment_hq	0.02531645569620253	0.9838709677419354	106.65	167.4	SFGPUCD---AF--
friend_air_defence_brigade_unit	0.5	0.6351351351351351	106.65	99.9	SFGPUCD----H--
friend_air_defence_brigade_hq	0.02531645569620253	0.9838709677419354	106.65	167.4	SFGPUCD---AH--
friend_air_defence_division_unit	0.5	0.6351351351351351	106.65	99.9	SFGPUCD----I--
friend_air_defence_division_hq	0.02531645569620253	0.9838709677419354	106.65	167.4	SFGPUCD---AI--
friend_ammunition_team_unit	0.5	0.6351351351351351	106.65	99.9	SFGPUSXO---A--
friend_ammunition_team_hq	0.02531645569620253	0.9838709677419354	106.65	167.4	SFGPUSXO--AA--
friend_ammunition_section_unit	0.5	0.6014760147601476	106.65	91.4625	SFGPUSXO---C--
friend_ammunition_section_hq	0.02531645569620253	0.9830148619957536	106.65	158.9625	SFGPUSXO--AC--
friend_ammunition_platoon_unit	0.5	0.6014760147601476	106.65	91.4625	SFGPUSXO---D--
friend_ammunition_platoon_hq	0.02531645569620253	0.9830148619957536	106.65	158.9625	SFGPUSXO--AD--
friend_ammunition_company_unit	0.5	0.6351351351351351	106.65	99.9	SFGPUSXO---E--
friend_ammunition_company_hq	0.02531645569620253	0.9838709677419354	106.65	167.4	SFGPUSXO--AE--
friend_ammunition_battalion_regiment_unit	0.5	0.6351351351351351	106.65	99.9	SFGPUSXO---F--
friend_ammunition_battalion_regiment_hq	0.02531645569620253	0.9838709677419354	106.65	167.4	SFGPUSXO--AF--
friend_ammunition_brigade_unit	0.5	0.6351351351351351	106.65	99.9	SFGPUSXO---H--
friend_ammunition_brigade_hq	0.02531645569620253	0.9838709677419354	106.65	167.4	SFGPUSXO--AH--
friend_ammunition_division_unit	0.5	0.6351351351351351	106.65	99.9	SFGPUSXO---I--
friend_ammunition_division_hq	0.02531645569620253	0.9838709677419354	106.65	167.4	SFGPUSXO--AI--
friend_anti_tank_team_unit	0.5	0.6351351351351351	106.65	99.9	SFGPUCAA---A--
friend_anti_tank_team_hq	0.02531645569620253	0.9838709677419354	106.65	167.4	SFGPUCAA--AA--
friend_anti_tank_section_unit	0.5	0.6014760147601476	106.65	91.4625	SFGPUCAA---C--
friend_anti_tank_section_hq	0.02531645569620253	0.9830148619957536	106.65	158.9625	SFGPUCAA--AC--
friend_anti_tank_platoon_unit	0.5	0.6014760147601476	106.65	91.4625	SFGPUCAA---D--
friend_anti_tank_platoon_hq	0.02531645569620253	0.9830148619957536	106.65	158.9625	SFGPUCAA--AD--
friend_anti_tank_company_unit	0.5	0.6351351351351351	106.65	99.9	SFGPUCAA---E--
friend_anti_tank_company_hq	0.02531645569620253	0.9838709677419354	106.65	167.4	SFGPUCAA--AE--
